type,title,release_year,rating,listed_in,description,service
Movie,Full-Court Miracle,2003,TV-G,"Coming of Age, Drama, Sports",A former college star is convinced to coach a winless basketball team.,disney plus
Movie,Fun and Fancy Free,1947,G,"Action-Adventure, Animation, Comedy","Two classic featurettes starring Mickey, Donald, Goofy and Jiminy Cricket.",disney plus
Movie,Fuzzbucket,1986,TV-G,"Buddy, Comedy, Coming of Age",An invisible creature helps Mikey cope with junior high and family drama.,disney plus
TV Show,Gargoyles,1994,TV-Y7,"Action-Adventure, Animation, Fantasy","In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle.",disney plus
Movie,Geek Charming,2011,TV-G,"Comedy, Coming of Age, Drama",Popular Dylan wants film geek Josh to help her be crowned Blossom Queen.,disney plus
Movie,Genius,1999,TV-G,"Comedy, Coming of Age",A teen genius juggles the roles of college student and junior high bad boy.,disney plus
Movie,George & A.J.,2009,TV-G,"Animation, Comedy, Family",Two nurses try to escort seniors to the nursing home.,disney plus
Movie,Geri's Game,1997,G,"Animation, Family, Kids",Geri plays a daylong game of chess against himself.,disney plus
Movie,Get a Clue,2002,TV-G,"Drama, Mystery",A teenage gossip columnist takes on the case of her missing teacher.,disney plus
Movie,Giants of the Deep Blue,2018,TV-PG,"Animals & Nature, Documentary, Family",Go beneath the surface of the sea for an extraordinary look at whales and dolphins.,disney plus
TV Show,Girl Meets World,2013,TV-G,"Comedy, Coming of Age, Family",Riley and Maya traverse the twists of teenage years.,disney plus
Movie,Go Figure,2005,TV-G,"Coming of Age, Sports",A girl must embrace hockey if she wants to become a champion ice skater.,disney plus
Movie,Going to the Mat,2004,TV-G,"Coming of Age, Sports","At a new school, Jace overcomes his blindness through a love of wrestling.",disney plus
TV Show,Good Luck Charlie,2009,TV-G,"Comedy, Coming of Age, Family",The Duncans are a typical family whose lives are turned topsy-turvy with the arrival of Charlie,disney plus
Movie,"Good Luck Charlie, It's Christmas!",2011,TV-G,"Comedy, Coming of Age, Family",The Duncans need a miracle of their own to reunite in time for Christmas.,disney plus
TV Show,Goof Troop,1992,TV-Y7,"Animation, Comedy, Kids","Goofy is a single father raising his son, Max in Spoonerville.",disney plus
Movie,Gotta Kick it Up,2002,TV-G,"Coming of Age, Dance, Drama",A new coach and her middle school dance team surprise all their doubters.,disney plus
Movie,Grand Canyonscope,1954,TV-G,"Animation, Comedy, Family",A park ranger has to keep Donald in check at the Grand Canyon. See details for advisory.,disney plus
Movie,Grasshopper and the Ants,1934,TV-G,"Animation, Family, Music",A grasshopper learns a lesson about hard work. See details for advisory.,disney plus
TV Show,Great Migrations,2010,TV-PG,"Animals & Nature, Docuseries, Survival",An intimate and unprecedented view of animal migrations across the globe.,disney plus
Movie,Greyfriars Bobby,1961,TV-G,"Animals & Nature, Drama, Family",The story of friendship forged between a shepherd and his devoted dog.,disney plus
Movie,Gus,1976,G,"Animals & Nature, Comedy, Family",A football team welcomes their newest member... a placekicking mule.,disney plus
Movie,Halloweentown,1998,TV-PG,"Action-Adventure, Comedy, Coming of Age",Marnie and her siblings discover their spooky heritage in Halloweentown.,disney plus
Movie,Halloweentown High,2004,TV-G,"Action-Adventure, Comedy, Fantasy",Marnie's magic is on the line as Halloweentown kids transfer to her school.,disney plus
Movie,Halloweentown II: Kalabar's Revenge,2001,TV-PG,"Action-Adventure, Fantasy",A warlock with a devious plan has stripped Halloweentown of its magic.,disney plus
TV Show,Handy Manny,2006,TV-Y,"Animation, Kids","Handy Manny and his box of friendly, silly tools are the go-to guys in their neighborhood.",disney plus
TV Show,Hannah Montana,2005,TV-G,"Comedy, Coming of Age, Kids",Hannah Montana is a live-action comedy series that follows typical tween Miley Stewart.,disney plus
Movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,G,"Concert Film, Documentary, Music",A look at Miley Cyrus's sold-out concerts and her life on tour.,disney plus
Movie,Hannah Montana The Movie,2009,G,"Comedy, Coming of Age, Drama",Miley adapts to life back in Tennessee after getting too caught up in the celebrity lifestyle.,disney plus
Movie,Hatching Pete,2009,TV-G,"Comedy, Coming of Age","The identity of Brewster High's mascot, The Chicken, is a big mystery.",disney plus
Movie,Hawaiian Holiday,1937,TV-G,"Animation, Comedy, Family",Mickey and gang experience Hawaii through hula dancing and the beach. See details for advisory.,disney plus
Movie,Heavyweights,1995,PG,"Comedy, Family",Portly misfits join up to take back their summer camp from a fitness guru.,disney plus
Movie,Herbie Goes Bananas,1980,G,"Action-Adventure, Comedy, Family",A stowaway derails Herbie's trip from Puerto Vallarta to Brazil for an auto race.,disney plus
Movie,Herbie Goes to Monte Carlo,1977,G,"Action-Adventure, Comedy, Family",Herbie tries to lose jewel thieves and find love during a road race from Paris to Monte Carlo.,disney plus
Movie,Herbie Rides Again,1974,G,"Comedy, Family, Romantic Comedy",Herbie comes to the rescue when a greedy real estate tycoon is after an elderly widow's home.,disney plus
Movie,Hercules,1997,G,"Action-Adventure, Animation, Comedy",Hercules must go from zero to hero to save the universe from Hades' wrath.,disney plus
Movie,High School Musical,2006,TV-G,"Coming of Age, Musical, Romance",A basketball star and a brainy girl find a place in the spotlight…and love.,disney plus
Movie,High School Musical 2,2007,TV-G,"Coming of Age, Musical",The East High Wildcats take on summer and let their talents shine.,disney plus
Movie,High School Musical 3: Senior Year,2008,G,"Coming of Age, Family, Musical","Troy, Gabriella and the rest of the East High kids take on senior year.",disney plus
TV Show,High School Musical: The Musical: The Series,2019,TV-PG,"Comedy, Coming of Age, Drama","For the first time ever, East High Wildcats put on a production of High School Musical: The Musical!",disney plus
Movie,Hocus Pocus,1993,PG,"Comedy, Family, Fantasy",Three 17th-century Salem witches are conjured up by unsuspecting children.,disney plus
Movie,Home on the Range,2004,PG,"Animation, Comedy, Family",A corral of critters join forces to save their farm from a band of outlaws.,disney plus
Movie,"Honey, I Blew Up the Kid",1992,PG,"Comedy, Family, Science Fiction",A wacky inventor accidentally turns his baby boy into a towering toddler.,disney plus
Movie,"Honey, I Shrunk the Kids",1989,PG,"Action-Adventure, Comedy, Family",Inventor Wayne Szalinski accidentally shrinks his kids to 1/4-inch tall.,disney plus
Movie,"Honey, We Shrunk Ourselves",1997,PG,"Action-Adventure, Comedy, Fantasy","This time, Wayne Szalinski's shrink machine is pointed at the parents!",disney plus
Movie,Horse Sense,1999,TV-G,"Coming of Age, Drama",Spoiled Michael spends a summer at his cousin Tommy's Montana ranch.,disney plus
TV Show,Hostile Planet,2019,TV-PG,"Animals & Nature, Docuseries, Survival",Hostile Planet reveals the animal kingdom’s epic stories of survival in extreme environments.,disney plus
Movie,Hounded,2001,TV-G,"Animals & Nature, Comedy, Coming of Age","Trying to right a wrong, Jay accidentally steals the principal's show dog.",disney plus
Movie,How Dogs Got Their Shapes,2016,TV-PG,"Animals & Nature, Documentary, Family",Canines are one of the most diverse species on Earth – how did they get that way?,disney plus
Movie,How to Build a Better Boy,2014,TV-G,"Action-Adventure, Comedy, Science Fiction",Tech-savvy best friends use their smarts to engineer the perfect boyfriend.,disney plus
Movie,How to Fish,1942,TV-G,"Animation, Comedy, Family",Goofy shows us how to fish… or how not to! See details for advisory.,disney plus
Movie,How to Swim,1942,TV-G,"Animation, Family, Parody",Goofy demonstrates how to swim. See details for advisory.,disney plus
TV Show,Hulk and the Agents of S.M.A.S.H.,2012,TV-Y7,"Action-Adventure, Animation, Comedy",Hulk and friends battle against evil.,disney plus
Movie,I'll Be Home for Christmas,1998,PG,"Action-Adventure, Comedy, Coming of Age",A jokester zooms home for Christmas with a prize in mind – his dad's car!,disney plus
Movie,Ice Age: The Great Egg-Scapade,2016,TV-G,"Animation, Comedy, Family",Our favorite Ice Age herd embarks on a rescue mission that turns into the world’s first egg hunt.,disney plus
Movie,Ice Princess,2005,G,"Coming of Age, Drama, Romance",A brainy ugly duckling realizes her dream of becoming a champion figure skater.,disney plus
Movie,Inner Workings,2016,G,"Animation, Comedy, Family",The tug-of-war between Paul’s head and his heart.,disney plus
Movie,Inside Out,2015,PG,"Animation, Coming of Age, Family",Five Emotions must work overtime when a young girl moves to a new city.,disney plus
Movie,Inspector Gadget,1999,PG,"Action-Adventure, Comedy, Family",A security guard's dreams come true when he is transformed into the ultimate crime-fighting tool.,disney plus
Movie,Inspector Gadget 2,2003,G,"Action-Adventure, Comedy, Family","While Inspector Gadget is on probation, Claw breaks out of jail, and the Mayor unveils a new gadget.",disney plus
Movie,Into the Grand Canyon,2019,TV-PG,"Action-Adventure, Animals & Nature, Documentary","Two friends set out to traverse the Grand Canyon by foot, revealing its beauty and challenges.",disney plus
Movie,Into the Okavango,2018,TV-PG,"Action-Adventure, Animals & Nature, Documentary",Follow a team of explorers on an epic expedition to save the Okavango Delta.,disney plus
Movie,Invincible,2006,PG,"Biographical, Family, Sports",The story of a 30-year-old bartender who earned a chance to play for the Philadelphia Eagles.,disney plus
Movie,Invisible Sister,2015,TV-G,"Comedy, Science Fiction",A Halloween science experiment leaves Cleo's popular sister invisible.,disney plus
TV Show,Iron Man (Series),1994,TV-Y7,"Action-Adventure, Animation, Kids",Industrialist Tony Stark leads a private team of superheroes as Iron Man against the forces of evil.,disney plus
TV Show,Iron Man Armored Adventures,2008,TV-G,"Action-Adventure, Animation, Coming of Age","After a tragic accident robs Tony of his father, he uses his new invincible armor to protect others.",disney plus
Movie,Iron Will,1994,PG,"Action-Adventure, Coming of Age, Family",Will courageously joins a dogsled race that may save his family from ruin.,disney plus
Movie,Jack,1996,PG-13,"Comedy, Coming of Age, Drama",A mischievous 10-year-old boy lives life in a grown-up's body.,disney plus
Movie,Jack-Jack Attack,2005,G,"Animation, Comedy, Family",Kari thinks she's in for a routine night babysitting.,disney plus
Movie,James and the Giant Peach,1996,PG,"Action-Adventure, Animation, Family",A young boy escapes his cruel home life when he discovers a giant peach.,disney plus
Movie,Jane,2017,PG,"Animals & Nature, Biographical, Documentary",An intimate portrait of Jane Goodall’s groundbreaking chimpanzee research.,disney plus
TV Show,Jessie,2011,TV-PG,"Comedy, Coming of Age, Family","A small-town girl becomes a nanny for a quirky, rich family.",disney plus
Movie,Jingle Pols,2013,TV-14,"Animals & Nature, Documentary, Medical",Nat Geo WILD re-joins the Pols in central Michigan as they get into the Christmas spirit.,disney plus
Movie,Johnny Kapahala: Back on Board,2007,TV-G,"Coming of Age, Drama, Sports","Johnny returns to Hawaii and has to babysit his 12-year-old ""Uncle Chris.""",disney plus
Movie,Johnny Tsunami,1999,TV-G,"Coming of Age, Drama, Sports",A teen surfing sensation moves from Hawaii to a tiny Vermont ski town.,disney plus
Movie,Jonas Brothers: The Concert Experience,2009,G,"Concert Film, Documentary, Music",An exclusive backstage pass into the world of the Jonas Brothers.,disney plus
Movie,Journey to Shark Eden,2010,TV-G,"Action-Adventure, Animals & Nature, Documentary",A team of scientists explores pristine coral reefs around five remote islands near Tahiti.,disney plus
Movie,Journey to the Center of the Earth,1959,G,"Action-Adventure, Family, Science Fiction",A professor and his colleague engage in a race to see who will reach the center of the Earth first.,disney plus
Movie,Jump In!,2007,TV-G,"Coming of Age, Dance, Sports",A tough Brooklyn boxer agrees to join a Double Dutch jump rope team.,disney plus
Movie,Jumping Ship,2001,TV-G,"Action-Adventure, Coming of Age",Modern-day pirates leave two cousins stranded on an island.,disney plus
Movie,Jungle 2 Jungle,1997,PG,"Comedy, Family",A Wall Street mogul learns he has a son who's been raised in the jungle.,disney plus
Movie,Jungle Cat,1960,TV-PG,"Animals & Nature, Documentary, Family",An intimate glimpse into the life-and-death struggles of a jaguar family.,disney plus
Movie,Kazaam,1996,PG,"Action-Adventure, Comedy, Family","12-year-old Max Connor accidentally frees a 3,000-year-old genie.",disney plus
TV Show,Kickin' It,2010,TV-PG,"Action-Adventure, Comedy, Coming of Age",The series will follow the crew of lovable misfits.,disney plus
Movie,Kim Possible,2019,TV-G,"Action-Adventure, Comedy, Coming of Age",Kim Possible and Ron Stoppable take on high school.,disney plus
Movie,Kim Possible Movie: So the Drama,2005,TV-G,"Action-Adventure, Animation, Coming of Age",Kim's new campus crush distracts her from Dr. Drakken's latest evil plot.,disney plus
Movie,Kingdom of the Apes: Battle Lines,2017,TV-PG,"Animals & Nature, Documentary",Gorillas and chimpanzees stuggle for power and dominance within their clans.,disney plus
Movie,Kingdom of the Blue Whale,2009,TV-PG,"Animals & Nature, Documentary, Family",Marine scientists embark on a mission to uncover the mysteries of the blue whale.,disney plus
TV Show,Kingdom of the White Wolf,2019,TV-PG,"Action-Adventure, Animals & Nature, Docuseries","In the remote, majestic landcape of the high Arctic, a photographer seeks the legendary white wolf.",disney plus
